season,champion,mvp,rookieOfTheYear,mostPoints,mostRebounds,mostAssists
2021,,,,Damian Lillard,Rudy Gobert,James Harden
2020,LAL,Giannis Antetokounmpo,Ja Morant,James Harden,Rudy Gobert,Lebron James
2019,TOR,Giannis Antetokounmpo,Luka Don?i?,James Harden,Andre Drummond,Russell Westbrook
2018,GSW,James Harden,Ben Simmons,Lebron James,Andre Drummond,Russell Westbrook
2017,GSW,Russell Westbrook,Malcolm Brogdon,Russell Westbrook,Andre Drummond,James Harden
2016,CLE,Stephen Curry,Karl Anthony-Towns,James Harden,Andre Drummond,Rajon Rondo
2015,GSW,Stephen Curry,Andrew Wiggins,James Harden,Deandre Jordan,Chris Paul
2014,SAS,Kevin Durant,Michael Carter-Williams,Kevin Durant,Deandre Jordan,John Wall
2013,MIA,Lebron James,Damian Lillard,Kevin Durant,�mer A??k,Greivis V�squez
2012,MIA,Lebron James,Kyrie Irving,Kevin Durant,Dwight Howard,Steve Nash
2011,DAL,Derrick Rose,Blake Griffin,Kevin Durant,Kevin Love,Steve Nash
2010,LAL,Lebron James,Tyreke Evans,Kevin Durant,Dwight Howard,Steve Nash
2009,LAL,Lebron James,Derrick Rose,Dwyane Wade,Dwight Howard,Chris Paul
2008,BOS,Kobe Bryant,Kevin Durant,Kobe Bryant,Dwight Howard,Chris Paul
2007,SAS,Dirk Nowitzki,Brandon Roy,Kobe Bryant,Dwight Howard,Steve Nash
2006,MIA,Steve Nash,Chris Paul,Kobe Bryant,Dwight Howard,Steve Nash
2005,SAS,Steve Nash,Emeka Okafor,Allen Iverson,Kevin Garnett,Steve Nash
2004,DET,Kevin Garnett,Lebron James,Kevin Garnett,Kevin Garnett,Stephon Marbury
2003,SAS,Tim Duncan,Amar'e Stoudemire,Kobe Bryant,Ben Wallace,Jason Kidd
2002,LAL,Tim Duncan,Pau Gasol,Paul Pierce,Tim Duncan,Andrew Miller
2001,LAL,Allen Iverson,Mike Miller,Jerry Stackhouse,B. Wallace,Jason Kidd
2000,LAL,Shaquille O'Neal,"Elton Brand, Steve Francis",Shaquille O'Neal,Dikembe Mutombo,Gary Payton
1999,SAS,Karl Malone,Vince Carter,Shaquille O'Neal,Dikembe Mutombo,Jason Kidd
1998,CHI,Michael Jordan,Tim Duncan,Michael Jordan,Dennis Rodman,Rod Strickland
1997,CHI,Karl Malone,Allen Iverson,Michael Jordan,Dikembe Mutombo,Mark Jackson
1996,CHI,Michael Jordan,Damon Stoudamire,Michael Jordan,David Robinson,John Stockton
