playerName,salary,season,,,,,
Stephen Curry,43006362,2020-2021,,,,,
Chris Paul,41358814,2020-2021,,,,,
Russell Westbrook,41358814,2020-2021,,,,,
James Harden,41254920,2020-2021,,,,,
John Wall,41254920,2020-2021,,,,,
LeBron James,39219566,2020-2021,,,,,
Kevin Durant,39058950,2020-2021,,,,,
Paul George,35450412,2020-2021,,,,,
Klay Thompson,35361360,2020-2021,,,,,
Mike Conley,34502132,2020-2021,,,,,
Kemba Walker,34379100,2020-2021,,,,,
Kawhi Leonard,34379100,2020-2021,,,,,
Jimmy Butler,34379100,2020-2021,,,,,
Tobias Harris,34358850,2020-2021,,,,,
Blake Griffin,33900241,2020-2021,,,,,
Kyrie Irving,33460350,2020-2021,,,,,
Khris Middleton,33051724,2020-2021,,,,,
Anthony Davis,32742000,2020-2021,,,,,
Damian Lillard,31626953,2020-2021,,,,,
Kevin Love,31258256,2020-2021,,,,,
Ben Simmons,30559200,2020-2021,,,,,
Pascal Siakam,30559200,2020-2021,,,,,
Kyle Lowry,30500000,2020-2021,,,,,
Steven Adams,29592695,2020-2021,,,,,
Nikola Jokic,29542010,2020-2021,,,,,
Andrew Wiggins,29542010,2020-2021,,,,,
Joel Embiid,29542010,2020-2021,,,,,
Kristaps Porzingis,29467800,2020-2021,,,,,
Karl-Anthony Towns,29467800,2020-2021,,,,,
Devin Booker,29467800,2020-2021,,,,,
CJ McCollum,29354152,2020-2021,,,,,
Bradley Beal,28751774,2020-2021,,,,,
Andre Drummond,28751774,2020-2021,,,,,
D'Angelo Russell,28649250,2020-2021,,,,,
Gordon Hayward,28500000,2020-2021,,,,,
Otto Porter,28489239,2020-2021,,,,,
DeMar DeRozan,27739975,2020-2021,,,,,
Giannis Antetokounmpo,27528088,2020-2021,,,,,
Al Horford,27500000,2020-2021,,,,,
Jamal Murray,27285000,2020-2021,,,,,
Brandon Ingram,27285000,2020-2021,,,,,
Rudy Gobert,26775281,2020-2021,,,,,
Nikola Vucevic,26000000,2020-2021,,,,,
Jrue Holiday,25876111,2020-2021,,,,,
Jaylen Brown,25035118,2020-2021,,,,,
Buddy Hield,24931817,2020-2021,,,,,
Draymond Green,22246956,2020-2021,,,,,
Harrison Barnes,22215909,2020-2021,,,,,
Fred VanVleet,21250000,2020-2021,,,,,
Victor Oladipo,21000000,2020-2021,,,,,
Malcolm Brogdon,20700000,2020-2021,,,,,
Julius Randle,19845000,2020-2021,,,,,
Domantas Sabonis,19800000,2020-2021,,,,,
Gary Harris,19610714,2020-2021,,,,,
Danilo Gallinari,19500000,2020-2021,,,,,
Zach LaVine,19500000,2020-2021,,,,,
Jerami Grant,19050000,2020-2021,,,,,
Tim Hardaway Jr,18975000,2020-2021,,,,,
Terry Rozier,18900000,2020-2021,,,,,
Aaron Gordon,18136364,2020-2021,,,,,
Clint Capela,18000000,2020-2021,,,,,
Bogdan Bogdanovic,18000000,2020-2021,,,,,
Myles Turner,18000000,2020-2021,,,,,
Goran Dragic,18000000,2020-2021,,,,,
Bojan Bogdanovic,17850000,2020-2021,,,,,
LaMarcus Aldridge,17628340,2020-2021,,,,,
Gorgui Dieng,17287640,2020-2021,,,,,
Evan Fournier,17150000,2020-2021,,,,,
Ricky Rubio,17000000,2020-2021,,,,,
Eric Bledsoe,16875000,2020-2021,,,,,
Eric Gordon,16869267,2020-2021,,,,,
Caris LeVert,16203704,2020-2021,,,,,
Joe Harris,16071429,2020-2021,,,,,
James Johnson,16047100,2020-2021,,,,,
Dennis Schroeder,15500000,2020-2021,,,,,
Cody Zeller,15415730,2020-2021,,,,,
Danny Green,15365853,2020-2021,,,,,
Davis Bertans,15000000,2020-2021,,,,,
Jonas Valanciunas,15000000,2020-2021,,,,,
Andre Iguodala,15000000,2020-2021,,,,,
Marcus Morris,14883721,2020-2021,,,,,
Rudy Gay,14500000,2020-2021,,,,,
Kelly Oubre,14375000,2020-2021,,,,,
Dejounte Murray,14286000,2020-2021,,,,,
Will Barton,13723214,2020-2021,,,,,
Thaddeus Young,13545000,2020-2021,,,,,
Patrick Mills,13535714,2020-2021,,,,,
Terrence Ross,13500000,2020-2021,,,,,
Malik Beasley,13425895,2020-2021,,,,,
Patrick Beverley,13333333,2020-2021,,,,,
Christian Wood,13015874,2020-2021,,,,,
JJ Redick,13013700,2020-2021,,,,,
Justise Winslow,13000000,2020-2021,,,,,
Marcus Smart,12946428,2020-2021,,,,,
Jusuf Nurkic,12888889,2020-2021,,,,,
Kelly Olynyk,12819650,2020-2021,,,,,
Trevor Ariza,12800000,2020-2021,,,,,
Brook Lopez,12697675,2020-2021,,,,,
Dion Waiters,12650000,2020-2021,,,,,
Cory Joseph,12600000,2020-2021,,,,,
Markelle Fultz,12288697,2020-2021,,,,,
Taurean Prince,12250000,2020-2021,,,,,
Tony Snell,12178571,2020-2021,,,,,
Robert Covington,12138345,2020-2021,,,,,
Kentavious Caldwell-Pope,12073020,2020-2021,,,,,
TJ Warren,12000000,2020-2021,,,,,
Larry Nance Jr,11709091,2020-2021,,,,,
Nicolas Batum,11608231,2020-2021,,,,,
Jordan Clarkson,11500000,2020-2021,,,,,
Spencer Dinwiddie,11454048,2020-2021,,,,,
Dillon Brooks,11400000,2020-2021,,,,,
Dwight Powell,11080125,2020-2021,,,,,
Lonzo Ball,11003782,2020-2021,,,,,
Josh Richardson,10865952,2020-2021,,,,,
Norman Powell,10865952,2020-2021,,,,,
Jeremy Lamb,10500000,2020-2021,,,,,
DeAndre Jordan,10375678,2020-2021,,,,,
Joe Ingles,10363637,2020-2021,,,,,
Zion Williamson,10245480,2020-2021,,,,,
Rodney Hood,10047450,2020-2021,,,,,
Deandre Ayton,10018200,2020-2021,,,,,
Tomas Satoransky,10000000,2020-2021,,,,,
Paul Millsap,10000000,2020-2021,,,,,
Jayson Tatum,9897120,2020-2021,,,,,
Anthony Edwards,9757440,2020-2021,,,,,
Al-Farouq Aminu,9720900,2020-2021,,,,,
Dante Exum,9600000,2020-2021,,,,,
George Hill,9590602,2020-2021,,,,,
De'Anthony Melton,9571712,2020-2021,,,,,
Kyle Anderson,9505100,2020-2021,,,,,
Meyers Leonard,9400000,2020-2021,,,,,
Tristan Thompson,9258000,2020-2021,,,,,
Serge Ibaka,9258000,2020-2021,,,,,
Montrezl Harrell,9258000,2020-2021,,,,,
Jae Crowder,9258000,2020-2021,,,,,
Derrick Jones,9258000,2020-2021,,,,,
Derrick Favors,9258000,2020-2021,,,,,
Dario Saric,9250000,2020-2021,,,,,
Ja Morant,9166800,2020-2021,,,,,
Delon Wright,9000000,2020-2021,,,,,
Marvin Bagley,8963640,2020-2021,,,,,
Cedi Osman,8840580,2020-2021,,,,,
Tyus Jones,8817143,2020-2021,,,,,
James Wiseman,8730240,2020-2021,,,,,
Royce O'Neale,8500000,2020-2021,,,,,
Thomas Bryant,8333333,2020-2021,,,,,
