injuryID,date,playerName,description
0,12/30/99,Willie Cauley-Stein,illness (DTD)
1,8/5/47,Jack Underman,fractured legs (in auto accident) (out indefinitely) (date approximate)
2,11/12/49,Fred Scolari,fractured right cheekbone (out indefinitely)
3,12/23/49,Vince Boryla,mumps (out ~2 weeks)
4,10/25/50,Goebel Ritter / Tex Ritter,bruised ligaments in left ankle (DTD)
5,11/25/50,Andy Phillip,lacerated foot (DTD)
6,12/5/50,Andy Duncan (a),fractured kneecap (out indefinitely)
7,10/13/52,Fred Scolari,fractured nose (out indefinitely)
8,1/27/53,Max Zaslofsky,fractured hand (out indefinitely)
9,2/2/53,Fred Scolari,sprained ankle (out indefinitely)
10,9/29/54,Jack Nichols,fractured nose (DTD)
11,1/2/55,Paul Arizin,ankle injury (DTD)
12,12/23/56,Larry Foust,undisclosed injury (date approximate)
13,3/25/57,Bob Pettit,fractured wrist (date approximate)
14,12/7/57,Bob Houbregs,hospitalized with back injury (out indefinitely)
15,3/15/58,Maurice Stokes,"hospitalized with encephalopathy / ""brain fever"" and paralysis"
16,1/5/60,Bill Sharman,sprained Achilles tendon (date approximate)
17,1/5/60,Jim Loscutoff,sore back and legs (out indefinitely) (date approximate)
18,4/5/60,Larry Foust,fractured hand (DTD)
19,5/2/61,Tom Stith,tuberculosis (out indefinitely)
20,10/23/61,Ron Horn,fractured right hand (out indefinitely)
21,11/11/61,Joe Graboski,fractured right foot (out indefinitely)
22,2/3/63,Jerry West,torn hamstring (out indefinitely)
23,3/5/63,Gene Conley,right ankle injury (DTD)
24,11/10/63,Art Heyman,back injury (DTD)
25,1/26/64,Jerry West,fractured thumb (out indefinitely)
26,7/1/64,Al Attles,surgery on right thigh to remove calcium deposits and blood clots (date approximate)
27,7/1/64,Gary Phillips,surgery on ankle (date approximate)
28,9/17/64,McCoy McLemore,broken nose (DTD)
29,9/17/64,Tom Meschery,fractured finger (date approximate)
30,10/1/64,Bob Pettit,knee injury (date approximate)
31,10/1/64,Art Heyman,right knee injury (DTD) (date approximate)
32,10/5/64,Wilt Chamberlain,stomach ailment (DTD)
33,1/14/65,Jerry West,fractured nose (DTD)
34,4/1/65,Elgin Baylor,injured kneecap (date approximate)
35,4/2/65,Elgin Baylor,surgery on injured kneecap (date approximate)
36,1/11/66,Jerry West,corneal abrasion (DTD)
37,3/3/66,Dick Barnett,shoulder injury (DTD)
38,9/21/66,Nate Bowman,hairline fracture in left ankle (out indefinitely)
39,9/21/66,Tom Stith,left leg injury (suffered in car accident) (out indefinitely)
40,10/11/66,Jerry West,heel injury
41,3/7/67,Jerry West,fractured nose (DTD)
42,3/17/67,Jerry West,sprained ankle (DTD)
43,3/21/67,Jerry West,pulled hamstring (DTD)
44,3/26/67,Jerry West,fractured hand (out indefinitely)
45,10/3/67,Jerry West,fractured hand (out indefinitely)
46,11/15/67,Jay Miller,appendectomy (out indefinitely)
47,12/1/67,Bob McIntyre,torn ligaments in knee (out indefinitely) (date approximate)
48,12/10/67,Larry Costello,foot injury (date approximate)
49,1/1/68,Jerry West,pulled groin (date approximate)
50,1/25/68,Jerry West,fractured nose (DTD)
51,2/23/68,Jerry West,pulled groin (DTD)
52,4/28/68,Jerry West,sprained ankle (DTD)
