franchiseName,gamesPlayed,wins,losses,winLoss,championships
ATL,5668,2791,2877,0.492,1
BOS,5845,3450,2395,0.59,17
BRK,4343,1893,2450,0.436,2
CHA,2443,1075,1368,0.44,0
CHI,4409,2246,2163,0.509,6
CLE,4084,1884,2200,0.461,1
DAL,3273,1642,1631,0.502,1
DEN,4343,2192,2151,0.505,0
DET,5729,2767,2962,0.483,3
GSW,5834,2810,3024,0.482,6
HOU,4336,2282,2054,0.526,2
IND,4342,2238,2104,0.515,3
LAC,4092,1691,2401,0.413,0
LAL,5735,3416,2319,0.596,17
MEM,2039,849,1190,0.416,0
MIA,2617,1364,1253,0.521,3
MIL,4256,2217,2039,0.521,1
MIN,2526,992,1534,0.393,0
NOP,1498,694,804,0.463,0
NYK,5837,2824,3013,0.484,2
OKC,4337,2347,1990,0.541,1
ORL,2534,1208,1326,0.477,0
PHI,5672,2934,2738,0.517,3
PHX,4255,2254,2001,0.53,0
POR,4093,2199,1894,0.537,1
SAC,5737,2615,3122,0.456,1
SAS,4340,2596,1744,0.598,5
TOR,2041,974,1067,0.477,1
UTA,3763,2046,1717,0.544,0
WAS,4817,2170,2647,0.45,1
AND,,,,,
SRS,,,,,
SRB,,,,,
WAT,,,,,
