gameID,playerName,date,winningTeam,opposingTeam,assistedPlayerName,distance
0,Harrison Barnes,Mar 27 2021,SAC,CLE,D. Fox,0
1,Tony Snell,Mar 11 2021,ATL,TOR,T. Young,25
2,Luguentz Dort,Feb 24 2021,OKC,SAS,A. Horford,23
3,Terry Rozier,Feb 20 2021,CHA,GSW,unassisted,20
4,Damian Lillard,Jan 30 2021,POR,WAS,unassisted,26
5,Cole Anthony,Jan 20 2021,ORL,LAL,unassisted,25
6,Buddy Hield,Dec 23 2020,SAC,DEN,unassisted,0
7,Anthony Davis,Sep 20 2020 p,LAL,DEN,R. Rondo,26
8,OG Anunoby,Sep 3 2020 p,TOR,BOS,K. Lowry,23
9,Jimmy Butler,Sep 2 2020 p,MIA,ATL,,
10,Luka Dončić,Aug 23 2020 p,DAL,LAC,unassisted,27
11,Devin Booker,Aug 4 2020,PHO,LAC,unassisted,18
12,Bojan Bogdanović,Feb 9 2020,UTA,HOU,J. Ingles,28
13,Nemanja Bjelica,Dec 9 2019,SAC,HOU,C. Joseph,32
14,Malik Monk,Nov 15 2019,CHA,DET,C. Martin,26
15,Bojan Bogdanović,Nov 8 2019,UTA,ATL,J. Ingles,23
16,Jae Crowder,Oct 27 2019,MEM,BRK,J. Morant,27
17,Kawhi Leonard,May 12 2019 p,TOR,GSW,unassisted,15
18,Damian Lillard,Apr 23 2019 p,POR,OKC,unassisted,36
19,Maurice Harkless,Apr 9 2019,POR,LAL,C. McCollum,24
20,Trae Young,Mar 31 2019,ATL,ATL,unassisted,11
21,Jeremy Lamb,Mar 24 2019,CHA,TOR,unassisted,48
22,Lou Williams,Mar 17 2019,LAC,BRK,D. Gallinari,28
23,Nikola Jokić,Mar 14 2019,DEN,DAL,unassisted,12
24,Dwyane Wade,Feb 27 2019,MIA,GSW,unassisted,25
25,Rajon Rondo,Feb 7 2019,LAL,BOS,unassisted,19
26,Karl-Anthony Towns,Jan 30 2019,LAL,MEM,unassisted,14
27,Rudy Gay,Jan 29 2019,SAS,PHO,unassisted,21
28,Buddy Hield,Jan 19 2019,SAC,DET,unassisted,27
29,Pascal Siakam,Jan 17 2019,TOR,PHO,unassisted,2
30,Evan Fournier,Dec 30 2018,ORL,DET,A. Gordon,12
31,Bogdan Bogdanović,Dec 27 2018,SAC,LAL,N. Bjelica,26
32,Larry Nance Jr.,Dec 18 2018,CLE,IND,unassisted,0
33,Reggie Bullock,Nov 14 2018,DET,TOR,J. Calderón,5
34,Evan Fournier,Nov 5 2018,ORL,CLE,A. Gordon,24
35,LeBron James,May 5 2018 p,CLE,TOR,unassisted,9
36,LeBron James,Apr 25 2018 p,CLE,IND,J. Green,24
37,Gerald Green,Mar 30 2018,HOU,PHO,T. Ariza,23
38,Russell Westbrook,Feb 22 2018,OKC,SAC,C. Anthony,25
39,LeBron James,Feb 7 2018,CLE,LAL,J. Green,17
40,Al Horford,Feb 4 2018,BOS,POR,J. Brown,19
41,Gary Harris,Feb 1 2018,DEN,OKC,N. Jokić,24
42,Harrison Barnes,Nov 22 2017,DAL,MEM,D. Smith,29
43,Blake Griffin,Oct 26 2017,LAC,POR,unassisted,24
44,Eric Gordon,Oct 25 2017,HOU,GSW,J. Harden,23
45,Andrew Wiggins,Oct 22 2017,LAL,OKC,unassisted,29
46,Joe Johnson,Apr 15 2017 p,UTA,LAC,unassisted,4
47,Noah Vonleh,Apr 10 2017,POR,SAS,unassisted,2
48,D'Angelo Russell,Apr 9 2017,LAL,LAL,J. Randle,25
49,Russell Westbrook,Apr 9 2017,OKC,DEN,S. Adams,36
50,Hassan Whiteside,Mar 28 2017,MIA,DET,unassisted,0
51,Brook Lopez,Mar 21 2017,BRK,DET,R. Foye,16
52,Devin Booker,Mar 11 2017,PHO,DAL,unassisted,19
53,Rudy Gobert,Mar 5 2017,UTA,SAC,unassisted,1
54,Tyler Ulis,Mar 5 2017,PHO,BOS,unassisted,25
55,Devin Booker,Feb 3 2017,PHO,SAC,unassisted,20
56,Andrew Wiggins,Jan 24 2017,LAL,PHO,unassisted,18
57,Marcus Morris,Jan 21 2017,DET,WAS,unassisted,0
58,T.J. McConnell,Jan 11 2017,GSW,NYK,E. İlyasova,12
59,Giannis Antetokounmpo,Jan 4 2017,ATL,NYK,unassisted,15
60,Jimmy Butler,Dec 28 2016,WAS,BRK,unassisted,20
61,Randy Foye,Dec 26 2016,BRK,CHA,B. Bogdanović,25
62,Marc Gasol,Nov 8 2016,MEM,DEN,V. Carter,3
63,Eric Bledsoe,Nov 2 2016,PHO,POR,unassisted,25
64,John Henson,Oct 29 2016,ATL,BRK,unassisted,1
65,J.J. Redick,Mar 24 2016,LAC,POR,C. Paul,20
66,Emmanuel Mudiay,Mar 23 2016,DEN,GSW,unassisted,36
67,Gordon Hayward,Feb 9 2016,UTA,DAL,unassisted,17
68,Joe Johnson,Feb 8 2016,BRK,DEN,M. Brown,27
69,Nikola Vučević,Feb 7 2016,ORL,ATL,E. Payton,17
70,Avery Bradley,Feb 5 2016,BOS,CLE,I. Thomas,23
71,Deron Williams,Jan 5 2016,DAL,SAC,D. Harris,22
72,Cory Joseph,Nov 28 2015,TOR,WAS,unassisted,24
73,Nikola Vučević,Nov 11 2015,ORL,LAL,T. Harris,19
74,LeBron James,May 10 2015 p,CLE,WAS,M. Dellavedova,21
75,Paul Pierce,May 9 2015 p,WAS,ATL,unassisted,21
76,Derrick Rose,May 8 2015 p,WAS,CLE,M. Dunleavy,26
77,Jerryd Bayless,Apr 25 2015 p,ATL,WAS,J. Dudley,1
78,Marcus Smart,Apr 4 2015,BOS,TOR,unassisted,1
79,Khris Middleton,Mar 24 2015,ATL,MIA,Z. Pachulia,24
80,Tyler Zeller,Mar 4 2015,BOS,UTA,M. Smart,1
81,DeMarcus Cousins,Feb 8 2015,SAC,PHO,B. McLemore,19
82,Anthony Davis,Feb 6 2015,NOP,OKC,T. Evans,29
83,James Harden,Jan 23 2015,HOU,PHO,unassisted,20
84,Khris Middleton,Dec 15 2014,ATL,PHO,J. Dudley,25
85,Tobias Harris,Dec 13 2014,ORL,ATL,unassisted,14
86,Bradley Beal,Dec 10 2014,WAS,ORL,A. Miller,1
87,Blake Griffin,Dec 8 2014,LAC,PHO,unassisted,25
88,Kemba Walker,Dec 5 2014,CHA,NYK,unassisted,1
89,Monta Ellis,Dec 3 2014,DAL,ATL,unassisted,18
90,Solomon Hill,Nov 19 2014,IND,CHA,unassisted,0
91,Trey Burke,Nov 14 2014,UTA,NYK,unassisted,18
92,Courtney Lee,Nov 13 2014,MEM,SAC,V. Carter,1
93,Lance Stephenson,Nov 7 2014,CHA,ATL,M. Williams,32
94,Gordon Hayward,Nov 5 2014,UTA,CLE,unassisted,20
95,Tobias Harris,Nov 5 2014,ORL,GSW,E. Fournier,20
96,Damian Lillard,May 2 2014 p,POR,HOU,N. Batum,25
97,Vince Carter,Apr 26 2014 p,DAL,SAS,J. Calderón,22
98,Chris Douglas-Roberts,Apr 14 2014,CHA,ATL,J. McRoberts,6
99,Dion Waiters,Mar 26 2014,CLE,DET,L. Deng,19
100,Dirk Nowitzki,Feb 24 2014,DAL,NYK,unassisted,19
101,Tobias Harris,Feb 7 2014,ORL,OKC,M. Harkless,2
102,Randy Foye,Feb 3 2014,DEN,LAC,unassisted,30
103,Evan Turner,Jan 29 2014,GSW,BOS,unassisted,7
104,Taj Gibson,Jan 20 2014,WAS,LAL,M. Dunleavy,2
105,Andre Iguodala,Jan 3 2014,GSW,ATL,S. Curry,26
106,Joe Johnson,Jan 2 2014,BRK,OKC,unassisted,19
107,Jeff Teague,Dec 26 2013,ATL,CLE,unassisted,20
108,Evan Turner,Dec 20 2013,GSW,BRK,unassisted,2
109,Kemba Walker,Dec 18 2013,CHA,TOR,J. McRoberts,18
110,Al Horford,Dec 13 2013,ATL,WAS,P. Antić,11
111,Monta Ellis,Dec 7 2013,DAL,POR,J. Calderón,21
112,Joe Johnson,Nov 15 2013,BRK,PHO,unassisted,1
113,Andre Iguodala,Nov 14 2013,GSW,OKC,K. Thompson,16
114,Jeff Green,Nov 9 2013,BOS,MIA,G. Wallace,24
115,LeBron James,May 22 2013 p,MIA,IND,unassisted,1
116,James Harden,Apr 9 2013,HOU,PHO,unassisted,25
117,Jeff Green,Mar 27 2013,BOS,CLE,A. Bradley,0
118,Monta Ellis,Feb 27 2013,ATL,HOU,B. Jennings,27
119,Joe Johnson,Feb 19 2013,BRK,ATL,unassisted,14
120,LaMarcus Aldridge,Jan 29 2013,POR,DAL,W. Matthews,18
121,DeMar DeRozan,Jan 24 2013,TOR,ORL,unassisted,22
122,Jordan Crawford,Jan 21 2013,WAS,POR,M. Webster,31
123,James Johnson,Dec 28 2012,SAC,NYK,J. Salmons,25
124,J.R. Smith,Dec 26 2012,NYK,PHO,J. Kidd,21
125,Joe Johnson,Dec 14 2012,BRK,DET,unassisted,23
126,Mo Williams,Dec 12 2012,UTA,SAS,unassisted,27
127,J.R. Smith,Dec 5 2012,NYK,CHA,unassisted,18
128,Brandon Jennings,Nov 3 2012,ATL,CLE,M. Dunleavy,26
129,Tony Parker,Nov 1 2012,SAS,OKC,D. Green,21
130,LaMarcus Aldridge,Apr 6 2012,POR,DAL,unassisted,17
131,Luol Deng,Mar 24 2012,WAS,TOR,unassisted,2
132,Derrick Rose,Mar 7 2012,WAS,ATL,unassisted,20
133,Luke Ridnour,Feb 22 2012,LAL,UTA,J. Barea,8
134,Kevin Love,Jan 20 2012,LAL,LAC,L. Ridnour,28
135,Kevin Durant,Dec 29 2011,OKC,DAL,T. Sefolosha,28
136,Nicolas Batum,Mar 25 2011,POR,SAS,A. Miller,0
137,Jameer Nelson,Mar 18 2011,ORL,DEN,unassisted,26
138,Al Jefferson,Mar 9 2011,UTA,TOR,unassisted,2
139,Channing Frye,Feb 27 2011,PHO,IND,S. Nash,23
140,Stephen Jackson,Feb 12 2011,CHA,ATL,unassisted,19
141,Arron Afflalo,Feb 10 2011,DEN,DAL,C. Billups,19
142,Antonio McDyess,Feb 3 2011,SAS,LAL,unassisted,2
143,Kevin Durant,Jan 22 2011,OKC,NYK,unassisted,25
144,Tyreke Evans,Dec 29 2010,SAC,MEM,D. Cousins,50
145,Mike Dunleavy,Dec 20 2010,IND,NOP,unassisted,1
146,Manu Ginóbili,Dec 15 2010,SAS,ATL,unassisted,17
147,Andrew Bogut,Dec 8 2010,ATL,IND,L. Mbah a Moute,2
148,Derek Fisher,Dec 8 2010,LAL,LAC,unassisted,3
149,Carmelo Anthony,Nov 26 2010,DEN,WAS,unassisted,23
150,Mo Williams,Nov 24 2010,CLE,ATL,unassisted,15
151,Rudy Gay,Nov 20 2010,MEM,MIA,unassisted,13
152,Metta World Peace,May 27 2010 p,LAL,PHO,unassisted,0
153,Paul Pierce,Apr 23 2010 p,BOS,MIA,unassisted,21
154,Carmelo Anthony,Mar 26 2010,DEN,TOR,C. Billups,18
155,Josh Smith,Mar 24 2010,ATL,ORL,unassisted,0
156,Joe Johnson,Mar 19 2010,ATL,CHA,unassisted,21
157,James Posey,Jan 22 2010,NOP,LAL,unassisted,0
158,Jamal Crawford,Jan 15 2010,ATL,PHO,M. Bibby,28
159,Sundiata Gaines,Jan 14 2010,UTA,CLE,R. Price,26
160,Gerald Wallace,Jan 9 2010,CHA,MEM,unassisted,0
161,Kobe Bryant,Jan 1 2010,LAL,SAC,P. Gasol,25
162,Baron Davis,Dec 27 2009,LAC,BOS,R. Butler,22
163,Kobe Bryant,Dec 16 2009,LAL,ATL,unassisted,15
164,Kobe Bryant,Dec 4 2009,LAL,MIA,unassisted,27
165,Kevin Garnett,Nov 22 2009,BOS,NYK,P. Pierce,19
166,Dirk Nowitzki,Nov 16 2009,DAL,ATL,J. Kidd,18
167,Damien Wilkins,Oct 28 2009,LAL,BRK,unassisted,9
168,LeBron James,May 22 2009 p,CLE,ORL,M. Williams,25
169,Glen Davis,May 10 2009 p,BOS,ORL,P. Pierce,21
170,Caron Butler,Apr 10 2009,WAS,TOR,unassisted,20
171,Rasual Butler,Mar 31 2009,NOP,SAC,D. Brown,25
172,Andre Iguodala,Mar 17 2009,GSW,LAL,unassisted,25
173,Steve Novak,Mar 15 2009,LAC,BRK,B. Davis,24
174,Dwyane Wade,Mar 9 2009,MIA,WAS,unassisted,24
175,Devin Harris,Feb 23 2009,BRK,GSW,unassisted,43
176,Caron Butler,Feb 8 2009,WAS,IND,unassisted,18
177,LeBron James,Jan 23 2009,CLE,GSW,unassisted,19
178,Jeff Green,Jan 21 2009,OKC,GSW,R. Westbrook,16
179,Dirk Nowitzki,Jan 19 2009,DAL,GSW,unassisted,17
180,Chris Paul,Jan 19 2009,NOP,IND,J. Posey,28
181,Danny Granger,Jan 7 2009,IND,PHO,M. Dunleavy,27
182,Tony Parker,Jan 3 2009,SAS,GSW,unassisted,15
183,Vince Carter,Jan 2 2009,BRK,ATL,unassisted,33
184,Roger Mason,Dec 25 2008,SAS,PHO,T. Parker,22
185,Devin Harris,Dec 23 2008,BRK,IND,unassisted,22
186,Troy Murphy,Dec 2 2008,IND,LAL,unassisted,1
187,Larry Hughes,Nov 24 2008,WAS,UTA,unassisted,22
188,Brandon Roy,Nov 6 2008,POR,HOU,S. Blake,31
189,Rudy Gay,Oct 31 2008,MEM,ORL,K. Lowry,18
190,Ramon Sessions,Apr 2 2008,ATL,WAS,A. Bogut,20
191,Michael Redd,Feb 26 2008,ATL,CLE,unassisted,27
192,DeShawn Stevenson,Feb 25 2008,WAS,NOP,unassisted,25
193,Leon Powe,Feb 8 2008,BOS,LAL,unassisted,0
194,Peja Stojaković,Feb 6 2008,NOP,PHO,unassisted,22
195,Kevin Martin,Jan 27 2008,SAC,OKC,unassisted,14
196,Hedo Türkoğlu,Jan 27 2008,ORL,BOS,unassisted,25
197,Rashard Lewis,Jan 21 2008,ORL,DET,unassisted,12
198,Jerry Stackhouse,Jan 12 2008,DAL,LAC,J. Terry,26
199,Linas Kleiza,Dec 23 2007,DEN,SAC,unassisted,22
200,Dwyane Wade,Dec 22 2007,MIA,UTA,unassisted,20
201,Andre Iguodala,Dec 22 2007,GSW,MEM,unassisted,20
202,Rudy Gay,Dec 19 2007,MEM,SAS,unassisted,27
203,Joe Johnson,Dec 6 2007,ATL,LAL,unassisted,22
204,Travis Outlaw,Dec 3 2007,POR,MEM,unassisted,6
205,Ray Allen,Nov 24 2007,BOS,CHA,P. Pierce,29
206,Kevin Durant,Nov 16 2007,OKC,ATL,E. Watson,28
207,Kevin Garnett,Mar 25 2007,LAL,POR,T. Hassell,15
208,Gilbert Arenas,Mar 21 2007,WAS,OKC,unassisted,0
209,Steve Francis,Mar 10 2007,NYK,WAS,unassisted,26
210,Desmond Mason,Feb 7 2007,NOP,DEN,unassisted,5
211,Tyronn Lue,Feb 4 2007,ATL,BRK,unassisted,22
212,Vince Carter,Jan 29 2007,BRK,UTA,unassisted,35
213,Eddie Jones,Jan 24 2007,MEM,UTA,unassisted,22
214,Monta Ellis,Jan 24 2007,GSW,BRK,B. Davis,17
215,Gilbert Arenas,Jan 15 2007,WAS,UTA,unassisted,25
216,Kevin Garnett,Jan 5 2007,LAL,GSW,T. Hassell,15
217,Gilbert Arenas,Jan 3 2007,WAS,ATL,unassisted,32
218,David Lee,Dec 20 2006,NYK,CHA,J. Crawford,0
