season,champion,mvp,rookieOfTheYear,mostPoints,mostRebounds,mostAssists
2021,,,,D. Lillard,R. Gobert,J. Harden
2020,LAL,G. Antetokounmpo,J. Morant,J. Harden,R. Gobert,L. James
2019,TOR,G. Antetokounmpo,L. Don_i_,J. Harden,A. Drummond,R. Westbrook
2018,GSW,J. Harden,B. Simmons,L. James,A. Drummond,R. Westbrook
2017,GSW,R. Westbrook,M. Brogdon,R. Westbrook,A. Drummond,J. Harden
2016,CLE,S. Curry,K. Towns,J. Harden,A. Drummond,R. Rondo
2015,GSW,S. Curry,A. Wiggins,J. Harden,D. Jordan,C. Paul
2014,SAS,K. Durant,M. Carter-Williams,K. Durant,D. Jordan,J. Wall
2013,MIA,L. James,D. Lillard,K. Durant,…. A_õk,G. V‡squez
2012,MIA,L. James,K. Irving,K. Durant,D. Howard,S. Nash
2011,DAL,D. Rose,B. Griffin,K. Durant,K. Love,S. Nash
2010,LAL,L. James,T. Evans,K. Durant,D. Howard,S. Nash
2009,LAL,L. James,D. Rose,D. Wade,D. Howard,C. Paul
2008,BOS,K. Bryant,K. Durant,K. Bryant,D. Howard,C. Paul
2007,SAS,D. Nowitzki,B. Roy,K. Bryant,D. Howard,S. Nash
2006,MIA,S. Nash,C. Paul,K. Bryant,D. Howard,S. Nash
2005,SAS,S. Nash,E. Okafor,A. Iverson,K. Garnett,S. Nash
2004,DET,K. Garnett,L. James,K. Garnett,K. Garnett,S. Marbury
2003,SAS,T. Duncan,A. Stoudemire,K. Bryant,B. Wallace,J. Kidd
2002,LAL,T. Duncan,P. Gasol,P. Pierce,T. Duncan,A. Miller
2001,LAL,A. Iverson,M. Miller,J. Stackhouse,B. Wallace,J. Kidd
2000,LAL,S. O'Neal,E. Brand ÊS. Francis,S. O'Neal,D. Mutombo,G. Payton
1999,SAS,K. Malone,V. Carter,S. O'Neal,D. Mutombo,J. Kidd
1998,CHI,M. Jordan,T. Duncan,M. Jordan,D. Rodman,R. Strickland
1997,CHI,K. Malone,A. Iverson,M. Jordan,D. Mutombo,M. Jackson
