gameID,playerName,date,winningTeam,opposingTeam,assistedPlayerName,distance
0,Harrison Barnes,Mar 27 2021,SAC,CLE,D. Fox,26
37,Gerald Green,Mar 30 2018,HOU,PHO,T. Ariza,23
38,Russell Westbrook,Feb 22 2018,OKC,SAC,C. Anthony,25
119,Joe Johnson,Feb 19 2013,BRK,MIL,unassisted,14
138,Al Jefferson,Mar 9 2011,UTA,TOR,unassisted,2
139,Channing Frye,Feb 27 2011,PHO,IND,S. Nash,23
140,Stephen Jackson,Feb 12 2011,CHA,ATL,unassisted,19
243,Ricky Davis,Nov 9 2005,BOS,MEM,P. Pierce,15
294,Jeff McInnis,Mar 29 2002,LAC,PHO,unassisted,20
295,Lamond Murray,Mar 19 2002,CLE,NJN,A. Miller,24
602,Moses Malone,Mar 30 1979,HOU,SAS,NA,NA
613,Lionel Hollins,Feb 26 1978,POR,CHI,unassisted,30
614,John Williamson,Feb 12 1978,NJN,NYK,K. Porter,25
