contractID,playerName,franchiseName,salary
0,Stephen Curry,GSW,43006362
1,Russell Westbrook,WAS,41358814
2,Chris Paul,PHO,41358814
3,John Wall,HOU,41254920
4,James Harden,BRK,40824000
5,LeBron James,LAL,39219565
6,Kevin Durant,BRK,39058950
7,Paul George,LAC,35450412
8,Klay Thompson,GSW,35361360
9,Mike Conley,UTA,34504132
10,Jimmy Butler,MIA,34379100
11,Kemba Walker,BOS,34379100
12,Kawhi Leonard,LAC,34379100
13,Tobias Harris,PHI,33517241
14,Kyrie Irving,BRK,33329100
15,Khris Middleton,MIL,33051724
16,Anthony Davis,LAL,32742000
17,Blake Griffin,DET,33685241
18,Damian Lillard,POR,31626953
19,Kevin Love,CLE,31300000
20,Kyle Lowry,TOR,30000000
21,Joel Embiid,PHI,29542010
22,Andrew Wiggins,GSW,29542010
23,Kristaps Porzi__is,DAL,29467800
24,Devin Booker,PHO,29430000
25,Karl-Anthony Towns,MIN,29430000
26,CJ McCollum,POR,29354152
27,Ben Simmons,PHI,29250000
28,Jamal Murray,DEN,29250000
29,Pascal Siakam,TOR,29000000
30,Bradley Beal,WAS,28751775
31,Andre Drummond,CLE,29546311
32,D'Angelo Russell,MIN,28649250
33,Nikola Joki_,DEN,28542009
34,Gordon Hayward,CHO,28500000
35,Otto Porter,ORL,28489239
36,DeMar DeRozan,SAS,27739975
37,Giannis Antetokounmpo,MIL,27528090
38,Steven Adams,NOP,27528090
39,Al Horford,OKC,27500000
40,Brandon Ingram,NOP,27285000
41,Rudy Gobert,UTA,26525281
42,Jrue Holiday,MIL,26131111
43,Nikola Vu_evi_,CHI,26000000
44,Buddy Hield,SAC,24431818
45,Jaylen Brown,BOS,22991071
46,Draymond Green,GSW,22246956
47,Harrison Barnes,SAC,22215909
48,Fred VanVleet,TOR,21250000
49,Victor Oladipo,MIA,21000000
50,Malcolm Brogdon,IND,20700000
51,Danilo Gallinari,ATL,19500000
52,Zach LaVine,CHI,19500000
53,Gary Harris,ORL,19160714
54,Jerami Grant,DET,19047619
55,Tim Hardaway Jr.,DAL,18975000
56,Terry Rozier,CHO,18900000
57,Julius Randle,NYK,18900000
58,LaMarcus Aldridge,SAS,19078340
59,Aaron Gordon,DEN,18136364
60,Myles Turner,IND,18000000
61,Bogdan Bogdanovi_,ATL,18000000
62,Goran Dragi_,MIA,18000000
63,Bojan Bogdanovi_,UTA,17850000
64,Domantas Sabonis,IND,17187500
65,Ricky Rubio,MIN,17000000
66,Evan Fournier,BOS,17000000
67,Eric Bledsoe,NOP,16875000
68,Eric Gordon,HOU,16869276
69,Gorgui Dieng,MEM,17587688
70,Caris LeVert,IND,16203704
71,Joe Harris,BRK,16071429
72,James Johnson,NOP,16047100
73,Clint Capela,ATL,16000000
74,Dennis Schröder,LAL,15500000
75,Cody Zeller,CHO,15415730
76,Danny Green,PHI,15365854
77,D_vis Bert_ns,WAS,15000000
78,Jonas Valan_i_nas,MEM,15000000
79,Andre Iguodala,MIA,15000000
80,Marcus Morris,LAC,14883721
81,Kelly Oubre Jr.,GSW,14375000
82,Dejounte Murray,SAS,14285714
83,Rudy Gay,SAS,14000000
84,Taurean Prince,CLE,13942308
85,Will Barton,DEN,13920000
86,Thaddeus Young,CHI,13545000
87,Terrence Ross,ORL,13500000
88,Marcus Smart,BOS,13446428
89,Patrick Beverley,LAC,13333333
90,Malik Beasley,MIN,13325895
91,Patty Mills,SAS,13285714
92,Christian Wood,HOU,13015874
93,J.J. Redick,DAL,13013700
94,Justise Winslow,MEM,13000000
95,Trevor Ariza,MIA,12800000
96,Brook Lopez,MIL,12697675
97,Dion Waiters,MEM,12650000
98,Cory Joseph,DET,12600000
99,Markelle Fultz,ORL,12288697
100,Kelly Olynyk,HOU,12198243
101,Tony Snell,ATL,12178571
102,Robert Covington,POR,12138345
103,Kentavious Caldwell-Pope,LAL,12073020
104,Jusuf Nurki_,POR,12000000
105,T.J. Warren,IND,11750000
106,Larry Nance Jr.,CLE,11709091
107,Jordan Clarkson,UTA,11500000
108,Spencer Dinwiddie,BRK,11454048
109,Dillon Brooks,MEM,11400000
110,Lonzo Ball,NOP,11003782
111,Norman Powell,POR,10865952
112,Joe Ingles,UTA,10863637
113,Josh Richardson,DAL,10800000
114,Jeremy Lamb,IND,10500000
115,DeAndre Jordan,BRK,10375678
116,Zion Williamson,NOP,10245480
117,Dwight Powell,DAL,10185185
118,Rodney Hood,TOR,10047450
119,Deandre Ayton,PHO,10018200
120,Tomá_ Satoransk_,CHI,10000000
121,Paul Millsap,DEN,10000000
122,Jayson Tatum,BOS,9897120
123,Anthony Edwards,MIN,9757440
124,Al-Farouq Aminu,CHI,9720900
125,Dante Exum,HOU,9600000
126,George Hill,PHI,9590602
127,Kyle Anderson,MEM,9505100
128,Meyers Leonard,OKC,9400000
129,Derrick Jones Jr.,POR,9268293
130,Jae Crowder,PHO,9258000
131,Derrick Favors,UTA,9258000
132,Montrezl Harrell,LAL,9258000
133,Tristan Thompson,BOS,9258000
134,Serge Ibaka,LAC,9258000
135,Ja Morant,MEM,9166800
136,Nicolas Batum,CHO,11608231
137,Delon Wright,SAC,9000000
138,Marvin Bagley III,SAC,8963640
139,Cedi Osman,CLE,8750000
140,James Wiseman,GSW,8730240
141,Dario _ari_,PHO,8333333
142,Thomas Bryant,WAS,8333333
143,Maxi Kleber,DAL,8250000
144,RJ Barrett,NYK,8231760
145,Jakob Poeltl,SAS,8101852
146,De'Aaron Fox,SAC,8099627
147,Luka Don_i_,DAL,8049360
148,Royce O'Neale,UTA,8035714
149,Mason Plumlee,DET,8000000
150,Lou Williams,ATL,8000000
151,P.J. Tucker,MIL,7969537
152,Tyus Jones,MEM,7965100
153,LaMelo Ball,CHO,7839960
154,Seth Curry,PHI,7813953
155,De'Anthony Melton,MEM,7812500
156,Derrick Rose,NYK,7682927
157,Cristiano Felício,CHI,7529020
158,Rajon Rondo,LAC,7500000
159,De'Andre Hunter,ATL,7422000
160,Jonathan Isaac,ORL,7362566
161,Doug McDermott,IND,7333333
162,Robin Lopez,WAS,7300000
163,Jaren Jackson Jr.,MEM,7257360
164,JaMychal Green,DEN,7199760
165,Nemanja Bjelica,MIA,7150000
166,Patrick Williams,CHI,7068360
167,Ivica Zubac,LAC,7000000
168,Darius Miller,OKC,7000000
169,Aron Baynes,TOR,6975610
170,Lauri Markkanen,CHI,6731508
171,Darius Garland,CLE,6720720
172,D.J. Augustin,HOU,6666667
173,Trae Young,ATL,6571800
174,Jabari Parker,SAC,6500000
175,Juan Hernangómez,MIN,6493000
176,Chris Boucher,TOR,6490385
177,Joakim Noah,NYK,6431666
178,Isaac Okoro,CLE,6400920
179,Frank Ntilikina,NYK,6176578
180,DeMarre Carroll,SAS,6167887
181,Ish Smith,WAS,6146341
182,Jarrett Culver,MIN,6104280
183,Alec Burks,NYK,6000000
184,Mo Bamba,ORL,5969040
185,Onyeka Okongwu,ATL,5813640
186,Justin Holiday,IND,5720400
187,Dennis Smith Jr.,DET,5686677
188,Avery Bradley,HOU,5635000
189,Timofey Mozgov,ORL,5573333
190,Coby White,CHI,5572680
191,Trey Lyles,SAS,5500000
192,Wendell Carter Jr.,ORL,5448840
193,Zach Collins,POR,5406255
194,Malik Monk,CHO,5345687
195,Killian Hayes,DET,5307120
196,Luke Kennard,LAC,5273826
197,Ryan Anderson,MIA,5214583
198,Donovan Mitchell,UTA,5195501
199,Bam Adebayo,MIA,5115492
200,Jaxson Hayes,NOP,5105160
201,Justin Jackson,OKC,5029650
202,Richaun Holmes,SAC,5005350
203,Enes Kanter,POR,5005350
204,Mike Scott,PHI,5005350
205,Ed Davis,MIN,5005350
206,Rodney McGruder,DET,5000000
207,Nerlens Noel,NYK,5000000
208,Daniel Theis,CHI,5000000
209,Collin Sexton,CLE,4991880
210,Luol Deng,LAL,4990000
211,Pat Connaughton,MIL,4938272
212,Obi Toppin,NYK,4862040
213,Kevon Looney,GSW,4821429
214,Josh Jackson,DET,4767000
215,Garrett Temple,CHI,4767000
216,Kris Dunn,ATL,4767000
217,Elfrid Payton,NYK,5760000
218,Rui Hachimura,WAS,4692840
219,Denzel Valentine,CHI,4642800
220,Kevin Knox,NYK,4588680
221,D.J. Wilson,HOU,4548280
222,Deni Avdija,WAS,4469160
223,Cam Reddish,ATL,4458000
224,Mikal Bridges,PHO,4359000
225,T.J. Leaf,OKC,4326825
226,Jalen Smith,PHO,4245720
227,Cameron Johnson,PHO,4235160
228,JaVale McGee,DEN,4200000
229,Reggie Bullock,NYK,4200000
230,Shai Gilgeous-Alexander,OKC,4141320
231,John Collins,ATL,4137302
232,Nicolò Melli,DAL,4097561
233,Devin Vassell,SAS,4033440
234,P.J. Washington,CHO,4023600
235,Willie Cauley-Stein,DAL,4000000
236,Dorian Finney-Smith,DAL,4000000
237,Patrick McCaw,TOR,4000000
238,Terrance Ferguson,NYK,3944013
239,Miles Bridges,CHO,3934320
240,Jarrett Allen,CLE,3909902
241,OG Anunoby,TOR,3872215
242,Tyrese Haliburton,SAC,3831840
243,Tyler Herro,MIA,3822240
244,Stanley Johnson,TOR,3801000
245,Jake Layman,MIN,3761085
246,Jerome Robinson,WAS,3737520
247,Danuel House,HOU,3717000
248,Kira Lewis Jr.,NOP,3640200
249,Romeo Langford,BOS,3631200
250,Facundo Campazzo,DEN,3623000
251,Maurice Harkless,SAC,3623000
252,Bobby Portis,MIL,3623000
253,Wesley Matthews,LAL,3623000
254,Kyle Kuzma,LAL,3562178
255,Michael Porter Jr.,DEN,3550800
256,Jevon Carter,PHO,3549383
257,Tony Bradley,OKC,3542060
258,Derrick White,SAS,3516284
259,Mirza Teletovi_,MIL,3500000
260,Boban Marjanovi_,DAL,3500000
261,T.J. McConnell,IND,3500000
262,Josh Hart,NOP,3491159
263,Aaron Nesmith,BOS,3458400
264,Sekou Doumbouya,DET,3449400
265,Troy Brown Jr.,CHI,3372840
266,James Ennis,ORL,3300000
267,Cole Anthony,ORL,3285120
268,Zhaire Smith,DET,3204600
269,Trey Burke,DAL,3174603
270,Austin Rivers,OKC,3174603
271,Jon Leuer,MIL,3169348
272,Chuma Okeke,ORL,3121080
273,Isaiah Stewart,DET,3121080
274,Nickeil Alexander-Walker,NOP,3113160
275,Patrick Patterson,LAC,3814768
276,Donte DiVincenzo,MIL,3044160
277,Michael Carter-Williams,ORL,3000000
278,Khem Birch,ORL,3000000
279,Ryan Arcidiacono,CHI,3000000
280,Aleksej Pokusevski,OKC,2964840
281,Goga Bitadze,IND,2957520
282,Lonnie Walker,SAS,2892000
283,Dewayne Dedmon,DET,2866667
284,Andrew Nicholson,POR,2844429
285,Luka _amani_,SAS,2824320
286,Josh Green,DAL,2816760
287,Kevin Huerter,ATL,2761920
288,Marko Guduric,MEM,2750000
289,Alex Caruso,LAL,2750000
290,Matisse Thybulle,PHI,2711280
291,Saddiq Bey,DET,2689920
292,Josh Okogie,MIN,2651040
293,Vincent Poirier,NYK,2619207
294,Brandon Clarke,MEM,2602920
295,Precious Achiuwa,MIA,2582160
296,Marc Gasol,LAL,2564753
297,Carmelo Anthony,POR,2564753
298,Dwight Howard,PHI,2564753
299,Jeff Teague,ORL,2564753
300,Udonis Haslem,MIA,2564753
301,Jared Dudley,LAL,2564753
302,Nicolas Batum,LAC,11608231
303,Wayne Ellington,DET,3005225
304,J.J. Barea,DAL,2564753
305,Jeff Green,BRK,2564753
306,Grayson Allen,MEM,2545320
307,Grant Williams,BOS,2498760
308,Tyrese Maxey,PHI,2478840
309,Chandler Hutchison,WAS,2443440
310,Darius Bazley,OKC,2399160
311,Zeke Nnaji,DEN,2379840
312,Aaron Holiday,IND,2345640
313,Bryn Forbes,MIL,2337145
314,E'Twaun Moore,PHO,2331593
315,Markieff Morris,LAL,2331593
316,Reggie Jackson,LAC,2331593
317,DeMarcus Cousins,HOU,2331593
318,Bismack Biyombo,CHO,2331593
319,Hassan Whiteside,SAC,2320044
320,Kent Bazemore,GSW,2320044
321,Alex Len,TOR,4032648
322,Luke Kornet,BOS,2304878
323,Ty Jerome,OKC,2303040
324,Taj Gibson,NYK,3283684
325,Mike Muscala,OKC,2283034
326,Ben McLemore,HOU,2283034
327,Anfernee Simons,POR,2252040
328,Brad Wanamaker,CHO,2250000
329,Monta Ellis,IND,2245400
330,Nassir Little,POR,2210640
331,R.J. Hampton,ORL,2193480
332,Matthew Dellavedova,CLE,2174318
333,Solomon Hill,ATL,2174318
334,Moritz Wagner,BOS,2161920
335,Edmond Sumner,IND,2160000
336,Dylan Windler,CLE,2137440
337,Immanuel Quickley,NYK,2105520
338,John Konchar,MEM,2093023
339,Landry Shamet,BRK,2090040
340,Mfiondu Kabengele,SAC,2075880
341,Jordan Poole,GSW,2063280
342,Bol Bol,DEN,2058240
343,Keldon Johnson,SAS,2048040
344,Payton Pritchard,BOS,2035800
345,Kevin Porter Jr.,HOU,2033160
346,Robert Williams,BOS,2029920
347,Langston Galloway,PHO,2028594
348,Tyler Johnson,BRK,2028594
349,Jacob Evans,NYK,2017320
350,Théo Maledon,OKC,2000000
351,Kenrich Williams,OKC,2000000
352,Damyean Dotson,CLE,2000000
353,Omari Spellman,NYK,1988280
354,Cameron Payne,PHO,1977011
355,Udoka Azubuike,UTA,1977000
356,Jaden McDaniels,MIN,1964760
357,Malachi Flynn,TOR,1950600
358,Gary Clark,DEN,1944677
359,Desmond Bane,MEM,1936440
360,Anderson Varejão,POR,1913345
361,Jontay Porter,MEM,1904762
362,Jahlil Okafor,DET,1882867
363,Raul Neto,WAS,1882867
364,JaKarr Sampson,IND,1882867
365,Jerian Grant,HOU,1882867
366,Frank Kaminsky,PHO,1882867
367,Larry Sanders,MIL,1865547
368,David Nwaba,HOU,1862250
369,Marquese Chriss,SAS,1824003
370,Timothé Luwawu-Cabarrot,BRK,1824003
371,Georges Niang,UTA,1783557
372,Rodions Kurucs,MIL,1780152
373,Damion Lee,GSW,1762796
374,Furkan Korkmaz,PHI,1762796
375,Alfonzo McKinnie,LAL,1762796
376,Abdel Nader,PHO,1752950
377,Semi Ojeleye,BOS,1752950
378,DeAndre' Bembry,TOR,1737145
379,Willy Hernangómez,NOP,1727145
380,Alex Len,WAS,4032648
381,Shake Milton,PHI,1701593
382,Thanasis Antetokounmpo,MIL,1701593
383,Brandon Goodwin,ATL,1701593
384,Wesley Iwundu,NOP,1678854
385,Harry Giles,POR,1678854
386,Torrey Craig,PHO,1678854
387,Dwayne Bacon,ORL,1678854
388,Sterling Brown,HOU,1678854
389,Monte Morris,DEN,1663861
390,Gary Trent Jr.,TOR,1663861
391,Sviatoslav Mykhailiuk,OKC,1663861
392,Mitchell Robinson,NYK,1663861
393,Kendrick Nunn,MIA,1663861
394,Duncan Robinson,MIA,1663861
395,Hamidou Diallo,DET,1663861
396,Jalen Brunson,DAL,1663861
397,Isaac Bonga,WAS,1663861
398,Jarred Vanderbilt,MIN,1663861
399,Devonte' Graham,CHO,1663861
400,Bruce Brown,BRK,1663861
401,Drew Eubanks,SAS,1620564
402,Josh Gray,OKC,1620564
403,Wenyen Gabriel,NOP,1620564
404,Terance Mann,LAC,1517984
405,KZ Okpala,MIA,1517981
406,Eric Paschall,GSW,1517981
407,Cody Martin,CHO,1517981
408,Nicolas Claxton,BRK,1517981
409,Carsen Edwards,BOS,1517981
410,Bruno Fernando,ATL,1517981
411,Luguentz Dort,OKC,1517981
412,Admiral Schofield,OKC,1517981
413,Daniel Gafford,WAS,1517981
414,Chris Silva,SAC,1517981
415,Justin James,SAC,1517981
416,Ignas Brazdeikis,PHI,1517981
417,Isaiah Roby,OKC,1517981
418,Talen Horton-Tucker,LAL,1517981
419,Jalen Lecque,IND,1517981
420,Chris Clemons,HOU,1517981
421,Alen Smailagi_,GSW,1517981
