injuryID,date,playerName,description
0,12/30/99,Willie Cauley-Stein,illness (DTD)
1,8/5/47,Jack Underman,fractured legs (in auto accident) (out indefinitely) (date approximate)
2,11/12/49,Fred Scolari,fractured right cheekbone (out indefinitely)
3,12/23/49,Vince Boryla,mumps (out ~2 weeks)
4,10/25/50,Goebel Ritter / Tex Ritter,bruised ligaments in left ankle (DTD)
5,11/25/50,Andy Phillip,lacerated foot (DTD)
6,12/5/50,Andy Duncan (a),fractured kneecap (out indefinitely)
7,10/13/52,Fred Scolari,fractured nose (out indefinitely)
8,1/27/53,Max Zaslofsky,fractured hand (out indefinitely)
9,2/2/53,Fred Scolari,sprained ankle (out indefinitely)
10,9/29/54,Jack Nichols,fractured nose (DTD)
11,1/2/55,Paul Arizin,ankle injury (DTD)
23632,4/6/18,Salah Mejri,rest / knee injury (out for season)
24579,1/17/19,Tristan Thompson,sore left foot (DTD)
