season	champion	mvp	rookieOfTheYear	mostPoints	mostRebounds	mostAssists
2021				D. Lillard	R. Gobert	J. Harden
2010	LAL	L. James	T. Evans	K. Durant	D. Howard	S. Nash
2004	DET	K. Garnett	L. James	K. Garnett	K. Garnett	S. Marbury
2003	SAS	T. Duncan	A. Stoudemire	K. Bryant	B. Wallace	J. Kidd
2002	LAL	T. Duncan	P. Gasol	P. Pierce	T. Duncan	A. Miller
2001	LAL	A. Iverson	M. Miller	J. Stackhouse	B. Wallace	J. Kidd
1964	BOS	O. Robertson	J. Lucas	W. Chamberlain	B. Russell	O. Robertson
1958	SLH	B. Russell	W. Sauldsberry	G. Yardley	B. Russell	B. Cousy
1957	BOS	B. Cousy	T. Heinsohn	P. Arizin	M. Stokes	B. Cousy
1954	MIN		R. Felix	N. Johnston	H. Gallatin	B. Cousy
1953	MIN		M. Meineke	N. Johnston	G. Mikan	B. Cousy
1950	MIN		A. Groza	G. Mikan		D. McGuire
1949	MIN		H. Shannon	G. Mikan		B. Davies
1948	BAL		P. Hoffman	M. Zaslofsky		H. Dallmar
1947	PHI			J. Fulks		E. Calverley
