season	champion	mvp	rookieOfTheYear	mostPoints	mostRebounds	mostAssists
2021				D. Lillard	R. Gobert	J. Harden
2020	Los Angeles Lakers	G. Antetokounmpo	J. Morant	J. Harden	R. Gobert	L. James
2019	Toronto Raptors	G. Antetokounmpo	L. Don_i_	J. Harden	A. Drummond	R. Westbrook
2018	Golden State Warriors	J. Harden	B. Simmons	L. James	A. Drummond	R. Westbrook
2017	Golden State Warriors	R. Westbrook	M. Brogdon	R. Westbrook	A. Drummond	J. Harden
2016	Cleveland Cavaliers	S. Curry	K. Towns	J. Harden	A. Drummond	R. Rondo
2015	Golden State Warriors	S. Curry	A. Wiggins	J. Harden	D. Jordan	C. Paul
2014	San Antonio Spurs	K. Durant	M. Carter-Williams	K. Durant	D. Jordan	J. Wall
2013	Miami Heat	L. James	D. Lillard	K. Durant	…. A_õk	G. V‡squez
2012	Miami Heat	L. James	K. Irving	K. Durant	D. Howard	S. Nash
2011	Dallas Mavericks	D. Rose	B. Griffin	K. Durant	K. Love	S. Nash
2010	Los Angeles Lakers	L. James	T. Evans	K. Durant	D. Howard	S. Nash
2009	Los Angeles Lakers	L. James	D. Rose	D. Wade	D. Howard	C. Paul
2008	Boston Celtics	K. Bryant	K. Durant	K. Bryant	D. Howard	C. Paul
2007	San Antonio Spurs	D. Nowitzki	B. Roy	K. Bryant	D. Howard	S. Nash
2006	Miami Heat	S. Nash	C. Paul	K. Bryant	D. Howard	S. Nash
2005	San Antonio Spurs	S. Nash	E. Okafor	A. Iverson	K. Garnett	S. Nash
2004	Detroit Pistons	K. Garnett	L. James	K. Garnett	K. Garnett	S. Marbury
2003	San Antonio Spurs	T. Duncan	A. Stoudemire	K. Bryant	B. Wallace	J. Kidd
2002	Los Angeles Lakers	T. Duncan	P. Gasol	P. Pierce	T. Duncan	A. Miller
2001	Los Angeles Lakers	A. Iverson	M. Miller	J. Stackhouse	B. Wallace	J. Kidd
2000	Los Angeles Lakers	S. O'Neal	"E. Brand,ÊS. Francis"	S. O'Neal	D. Mutombo	G. Payton
1999	San Antonio Spurs	K. Malone	V. Carter	S. O'Neal	D. Mutombo	J. Kidd
1998	Chicago Bulls	M. Jordan	T. Duncan	M. Jordan	D. Rodman	R. Strickland
1997	Chicago Bulls	K. Malone	A. Iverson	M. Jordan	D. Mutombo	M. Jackson
1996	Chicago Bulls	M. Jordan	D. Stoudamire	M. Jordan	D. Robinson	J. Stockton
1995	Houston Rockets	D. Robinson	"G. Hill,ÊJ. Kidd"	S. O'Neal	D. Mutombo	J. Stockton
1994	Houston Rockets	H. Olajuwon	C. Webber	D. Robinson	D. Rodman	J. Stockton
1993	Chicago Bulls	C. Barkley	S. O'Neal	M. Jordan	D. Rodman	J. Stockton
1992	Chicago Bulls	M. Jordan	L. Johnson	M. Jordan	D. Rodman	J. Stockton
1991	Chicago Bulls	M. Jordan	D. Coleman	M. Jordan	D. Robinson	J. Stockton
1990	Detroit Pistons	M. Johnson	D. Robinson	M. Jordan	H. Olajuwon	J. Stockton
1989	Detroit Pistons	M. Johnson	M. Richmond	M. Jordan	H. Olajuwon	J. Stockton
1988	Los Angeles Lakers	M. Jordan	M. Jackson	M. Jordan	C. Oakley	J. Stockton
1987	Los Angeles Lakers	M. Johnson	C. Person	M. Jordan	C. Oakley	M. Johnson
1986	Boston Celtics	L. Bird	P. Ewing	A. English	B. Laimbeer	M. Johnson
1985	Los Angeles Lakers	L. Bird	M. Jordan	M. Jordan	M. Malone	I. Thomas
1984	Boston Celtics	L. Bird	R. Sampson	A. Dantley	B. Laimbeer	N. Nixon
1983	Philadelphia 76ers	M. Malone	T. Cummings	A. English	M. Malone	M. Johnson
1982	Los Angeles Lakers	M. Malone	B. Williams	G. Gervin	M. Malone	J. Moore
1981	Boston Celtics	J. Erving	D. Griffith	A. Dantley	M. Malone	K. Porter
1980	Los Angeles Lakers	K. Abdul-Jabbar	L. Bird	G. Gervin	S. Nater	M. Richardson
1979	Seattle SuperSonics	M. Malone	P. Ford	G. Gervin	M. Malone	K. Porter
1978	Washington Bullets	B. Walton	W. Davis	G. Gervin	T. Robinson	K. Porter
1977	Portland Trail Blazers	K. Abdul-Jabbar	A. Dantley	P. Maravich	K. Abdul-Jabbar	D. Buse
1976	Boston Celtics	K. Abdul-Jabbar	A. Adams	B. McAdoo	K. Abdul-Jabbar	S. Watts
1976	New York Nets	J. Erving	D. Thompson	J. Erving	A. Gilmore	D. Buse
1975	Golden State Warriors	B. McAdoo	J. Wilkes	B. McAdoo	B. McAdoo	K. Porter
1975	Kentucky Colonels	"J. Erving,ÊG. McGinnis"	M. Barnes	G. McGinnis	A. Gilmore	C. Williams
1974	Boston Celtics	K. Abdul-Jabbar	E. DiGregorio	B. McAdoo	E. Hayes	E. DiGregorio
1974	New York Nets	J. Erving	S. Nater	J. Erving	A. Gilmore	A. Smith
