,,,,,,,,,,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats
Player,Game,Team,,Opp,Margin,Type,Assisted,Distance,,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Harrison Barnes  (2),Mar 27 2021,SAC,,CLE,-1,3-pt FG,D. Fox,26 ft,,36:28,16,6,10,.600,1,3,.333,3,4,.750,11,0,0,0,9.9
Tony Snell,Mar 11 2021,ATL,@,TOR,-2,3-pt FG,T. Young,25,,26:28,6,2,4,.500,2,3,.667,0,0,,4,2,0,0,5.8
Luguentz Dort,Feb 24 2021,OKC,,SAS,tied,3-pt FG,A. Horford,23,,30:44,16,6,12,.500,4,7,.571,0,0,,4,1,0,0,10.3
Terry Rozier,Feb 20 2021,CHO,,GSW,tied,2-pt FG,unassisted,20,,38:54,36,12,19,.632,8,11,.727,4,4,1.000,3,4,1,0,28.6
Damian Lillard  (3),Jan 30 2021,POR,@,CHI,-2,3-pt FG,unassisted,26,,36:27,44,15,26,.577,8,17,.471,6,6,1.000,5,9,1,0,35.8
Cole Anthony,Jan 20 2021,ORL,@,MIN,-2,3-pt FG,unassisted,25,,27:57,13,5,7,.714,3,3,1.000,0,0,,7,3,0,1,12.8
Buddy Hield  (2),Dec 23 2020,SAC,@,DEN,tied,2-pt FG,unassisted,At Rim,,41:07,22,7,15,.467,5,11,.455,3,3,1.000,4,3,1,0,14.0
Anthony Davis  (2),Sep 20 2020 p,LAL,,DEN,-1,3-pt FG,R. Rondo,26,,39:18,31,11,23,.478,2,4,.500,7,7,1.000,9,2,1,2,24.0
OG Anunoby,Sep 3 2020 p,TOR,@,BOS,-2,3-pt FG,K. Lowry,23,,45:28,12,4,8,.500,3,5,.600,1,2,.500,10,1,3,2,15.1
Jimmy Butler  (2),Sep 2 2020 p,MIA,@,MIL,tied,Free throw,,,,36:13,13,3,8,.375,0,2,.000,7,8,.875,3,6,3,0,13.9
Luka Dončić,Aug 23 2020 p,DAL,,LAC,-1,3-pt FG,unassisted,27,,45:45,43,18,31,.581,4,10,.400,3,5,.600,17,13,2,1,37.6
Devin Booker  (3),Aug 4 2020,PHO,@,LAC,tied,2-pt FG,unassisted,18,,37:08,35,13,25,.520,6,9,.667,3,5,.600,4,8,0,0,25.5
Bojan Bogdanović  (2),Feb 9 2020,UTA,@,HOU,-2,3-pt FG,J. Ingles,28,,32:16,8,2,7,.286,2,5,.400,2,2,1.000,2,4,0,0,6.3
