playerName	date	winningTeam	opposingTeam	assistedPlayerName	distance																		
Harrison Barnes	Mar 27 2021	SAC	CLE	D. Fox	26 ft																		
Tony Snell	Mar 11 2021	ATL	TOR	T. Young	25																		
Luguentz Dort	Feb 24 2021	OKC	SAS	A. Horford	23																		
Terry Rozier	Feb 20 2021	CHO	GSW	unassisted	20																		
Damian Lillard	Jan 30 2021	POR	CHI	unassisted	26																		
Cole Anthony	Jan 20 2021	ORL	MIN	unassisted	25																		
Buddy Hield	Dec 23 2020	SAC	DEN	unassisted	At Rim																		
Anthony Davis	Sep 20 2020 p	LAL	DEN	R. Rondo	26																		
OG Anunoby	Sep 3 2020 p	TOR	BOS	K. Lowry	23																		
Jimmy Butler	Sep 2 2020 p	MIA	MIL																				
Luka Dončić	Aug 23 2020 p	DAL	LAC	unassisted	27																		
Devin Booker	Aug 4 2020	PHO	LAC	unassisted	18																		
Bojan Bogdanović	Feb 9 2020	UTA	HOU	J. Ingles	28																		
Nemanja Bjelica	Dec 9 2019	SAC	HOU	C. Joseph	32																		
Malik Monk	Nov 15 2019	CHO	DET	C. Martin	26																		
Bojan Bogdanović	Nov 8 2019	UTA	MIL	J. Ingles	23																		
Jae Crowder	Oct 27 2019	MEM	BRK	J. Morant	27																		
Kawhi Leonard	May 12 2019 p	TOR	PHI	unassisted	15																		
Damian Lillard	Apr 23 2019 p	POR	OKC	unassisted	36																		
Maurice Harkless	Apr 9 2019	POR	LAL	C. McCollum	24																		
Trae Young	Mar 31 2019	ATL	MIL	unassisted	11																		
Jeremy Lamb	Mar 24 2019	CHO	TOR	unassisted	48																		
Lou Williams	Mar 17 2019	LAC	BRK	D. Gallinari	28																		
Nikola Jokić	Mar 14 2019	DEN	DAL	unassisted	12																		
Dwyane Wade	Feb 27 2019	MIA	GSW	unassisted	25																		
Rajon Rondo	Feb 7 2019	LAL	BOS	unassisted	19																		
Karl-Anthony Towns	Jan 30 2019	MIN	MEM	unassisted	14																		
Rudy Gay	Jan 29 2019	SAS	PHO	unassisted	21																		
Buddy Hield	Jan 19 2019	SAC	DET	unassisted	27																		
Pascal Siakam	Jan 17 2019	TOR	PHO	unassisted	2																		
Evan Fournier	Dec 30 2018	ORL	DET	A. Gordon	12																		
Bogdan Bogdanović	Dec 27 2018	SAC	LAL	N. Bjelica	26																		
Larry Nance Jr.	Dec 18 2018	CLE	IND	unassisted	At Rim																		
Reggie Bullock	Nov 14 2018	DET	TOR	J. Calderón	5																		
Evan Fournier	Nov 5 2018	ORL	CLE	A. Gordon	24																		
LeBron James	May 5 2018 p	CLE	TOR	unassisted	9																		
LeBron James	Apr 25 2018 p	CLE	IND	J. Green	24																		
Gerald Green	Mar 30 2018	HOU	PHO	T. Ariza	23																		
Russell Westbrook	Feb 22 2018	OKC	SAC	C. Anthony	25																		
LeBron James	Feb 7 2018	CLE	MIN	J. Green	17																		
Al Horford	Feb 4 2018	BOS	POR	J. Brown	19																		
Gary Harris	Feb 1 2018	DEN	OKC	N. Jokić	24																		
Harrison Barnes	Nov 22 2017	DAL	MEM	D. Smith	29																		
Blake Griffin	Oct 26 2017	LAC	POR	unassisted	24																		
Eric Gordon	Oct 25 2017	HOU	PHI	J. Harden	23																		
Andrew Wiggins	Oct 22 2017	MIN	OKC	unassisted	29																		
Joe Johnson	Apr 15 2017 p	UTA	LAC	unassisted	4																		
Noah Vonleh	Apr 10 2017	POR	SAS	unassisted	2																		
D'Angelo Russell	Apr 9 2017	LAL	MIN	J. Randle	25																		
Russell Westbrook	Apr 9 2017	OKC	DEN	S. Adams	36																		
Hassan Whiteside	Mar 28 2017	MIA	DET	unassisted	At Rim																		
Brook Lopez	Mar 21 2017	BRK	DET	R. Foye	16																		
Devin Booker	Mar 11 2017	PHO	DAL	unassisted	19																		
Rudy Gobert	Mar 5 2017	UTA	SAC	unassisted	1																		
Tyler Ulis	Mar 5 2017	PHO	BOS	unassisted	25																		
Devin Booker	Feb 3 2017	PHO	SAC	unassisted	20																		
Andrew Wiggins	Jan 24 2017	MIN	PHO	unassisted	18																		
Marcus Morris	Jan 21 2017	DET	WAS	unassisted	At Rim																		
T.J. McConnell	Jan 11 2017	PHI	NYK	E. İlyasova	12																		
Giannis Antetokounmpo	Jan 4 2017	MIL	NYK	unassisted	15																		
Jimmy Butler	Dec 28 2016	CHI	BRK	unassisted	20																		
Randy Foye	Dec 26 2016	BRK	CHO	B. Bogdanović	25																		
Marc Gasol	Nov 8 2016	MEM	DEN	V. Carter	3																		
Eric Bledsoe	Nov 2 2016	PHO	POR	unassisted	25																		
John Henson	Oct 29 2016	MIL	BRK	unassisted	1																		
J.J. Redick	Mar 24 2016	LAC	POR	C. Paul	20																		
Emmanuel Mudiay	Mar 23 2016	DEN	PHI	unassisted	36																		
Gordon Hayward	Feb 9 2016	UTA	DAL	unassisted	17																		
Joe Johnson	Feb 8 2016	BRK	DEN	M. Brown	27																		
Nikola Vučević	Feb 7 2016	ORL	ATL	E. Payton	17																		
Avery Bradley	Feb 5 2016	BOS	CLE	I. Thomas	23																		
Deron Williams	Jan 5 2016	DAL	SAC	D. Harris	22																		
Cory Joseph	Nov 28 2015	TOR	WAS	unassisted	24																		
Nikola Vučević	Nov 11 2015	ORL	LAL	T. Harris	19																		
LeBron James	May 10 2015 p	CLE	CHI	M. Dellavedova	21																		
Paul Pierce	May 9 2015 p	WAS	ATL	unassisted	21																		
Derrick Rose	May 8 2015 p	CHI	CLE	M. Dunleavy	26																		
Jerryd Bayless	Apr 25 2015 p	MIL	CHI	J. Dudley	1																		
Marcus Smart	Apr 4 2015	BOS	TOR	unassisted	1																		
Khris Middleton	Mar 24 2015	MIL	MIA	Z. Pachulia	24																		
Tyler Zeller	Mar 4 2015	BOS	UTA	M. Smart	1																		
DeMarcus Cousins	Feb 8 2015	SAC	PHO	B. McLemore	19																		
Anthony Davis	Feb 6 2015	NOP	OKC	T. Evans	29																		
James Harden	Jan 23 2015	HOU	PHO	unassisted	20																		
Khris Middleton	Dec 15 2014	MIL	PHO	J. Dudley	25																		
Tobias Harris	Dec 13 2014	ORL	ATL	unassisted	14																		
Bradley Beal	Dec 10 2014	WAS	ORL	A. Miller	1																		
Blake Griffin	Dec 8 2014	LAC	PHO	unassisted	25																		
Kemba Walker	Dec 5 2014	CHO	NYK	unassisted	1																		
Monta Ellis	Dec 3 2014	DAL	MIL	unassisted	18																		
Solomon Hill	Nov 19 2014	IND	CHO	unassisted	At Rim																		
Trey Burke	Nov 14 2014	UTA	NYK	unassisted	18																		
Courtney Lee	Nov 13 2014	MEM	SAC	V. Carter	1																		
Lance Stephenson	Nov 7 2014	CHO	ATL	M. Williams	32																		
Gordon Hayward	Nov 5 2014	UTA	CLE	unassisted	20																		
Tobias Harris	Nov 5 2014	ORL	PHI	E. Fournier	20																		
Damian Lillard	May 2 2014 p	POR	HOU	N. Batum	25																		
Vince Carter	Apr 26 2014 p	DAL	SAS	J. Calderón	22																		
Chris Douglas-Roberts	Apr 14 2014	CHA	ATL	J. McRoberts	6																		
Dion Waiters	Mar 26 2014	CLE	DET	L. Deng	19																		
Dirk Nowitzki	Feb 24 2014	DAL	NYK	unassisted	19																		
Tobias Harris	Feb 7 2014	ORL	OKC	M. Harkless	2																		
Randy Foye	Feb 3 2014	DEN	LAC	unassisted	30																		
Evan Turner	Jan 29 2014	PHI	BOS	unassisted	7																		
Taj Gibson	Jan 20 2014	CHI	LAL	M. Dunleavy	2																		
Andre Iguodala	Jan 3 2014	GSW	ATL	S. Curry	26																		
Joe Johnson	Jan 2 2014	BRK	OKC	unassisted	19																		
Jeff Teague	Dec 26 2013	ATL	CLE	unassisted	20																		
Evan Turner	Dec 20 2013	PHI	BRK	unassisted	2																		
Kemba Walker	Dec 18 2013	CHA	TOR	J. McRoberts	18																		
Al Horford	Dec 13 2013	ATL	WAS	P. Antić	11																		
Monta Ellis	Dec 7 2013	DAL	POR	J. Calderón	21																		
Joe Johnson	Nov 15 2013	BRK	PHO	unassisted	1																		
Andre Iguodala	Nov 14 2013	GSW	OKC	K. Thompson	16																		
Jeff Green	Nov 9 2013	BOS	MIA	G. Wallace	24																		
LeBron James	May 22 2013 p	MIA	IND	unassisted	1																		
James Harden	Apr 9 2013	HOU	PHO	unassisted	25																		
Jeff Green	Mar 27 2013	BOS	CLE	A. Bradley	At Rim																		
Monta Ellis	Feb 27 2013	MIL	HOU	B. Jennings	27																		
Joe Johnson	Feb 19 2013	BRK	MIL	unassisted	14																		
LaMarcus Aldridge	Jan 29 2013	POR	DAL	W. Matthews	18																		
DeMar DeRozan	Jan 24 2013	TOR	ORL	unassisted	22																		
Jordan Crawford	Jan 21 2013	WAS	POR	M. Webster	31																		
James Johnson	Dec 28 2012	SAC	NYK	J. Salmons	25																		
J.R. Smith	Dec 26 2012	NYK	PHO	J. Kidd	21																		
Joe Johnson	Dec 14 2012	BRK	DET	unassisted	23																		
Mo Williams	Dec 12 2012	UTA	SAS	unassisted	27																		
J.R. Smith	Dec 5 2012	NYK	CHA	unassisted	18																		
Brandon Jennings	Nov 3 2012	MIL	CLE	M. Dunleavy	26																		
Tony Parker	Nov 1 2012	SAS	OKC	D. Green	21																		
LaMarcus Aldridge	Apr 6 2012	POR	DAL	unassisted	17																		
Luol Deng	Mar 24 2012	CHI	TOR	unassisted	2																		
Derrick Rose	Mar 7 2012	CHI	MIL	unassisted	20																		
