playerName	franchiseName	salary
Stephen Curry	GSW	43006362
Russell Westbrook	WAS	41358814
Chris Paul	PHO	41358814
John Wall	HOU	41254920
James Harden	BRK	40824000
LeBron James	LAL	39219565
Kevin Durant	BRK	39058950
Paul George	LAC	35450412
Klay Thompson	GSW	35361360
Mike Conley	UTA	34504132
Jimmy Butler	MIA	34379100
Kemba Walker	BOS	34379100
Kawhi Leonard	LAC	34379100
Tobias Harris	PHI	33517241
Kyrie Irving	BRK	33329100
Khris Middleton	MIL	33051724
Anthony Davis	LAL	32742000
Blake Griffin	DET	33685241
Damian Lillard	POR	31626953
Kevin Love	CLE	31300000
Kyle Lowry	TOR	30000000
Joel Embiid	PHI	29542010
Andrew Wiggins	GSW	29542010
Kristaps Porzi__is	DAL	29467800
Devin Booker	PHO	29430000
Karl-Anthony Towns	MIN	29430000
CJ McCollum	POR	29354152
Ben Simmons	PHI	29250000
Jamal Murray	DEN	29250000
Pascal Siakam	TOR	29000000
Bradley Beal	WAS	28751775
Andre Drummond	CLE	29546311
D'Angelo Russell	MIN	28649250
Nikola Joki_	DEN	28542009
Gordon Hayward	CHO	28500000
Otto Porter	ORL	28489239
DeMar DeRozan	SAS	27739975
Giannis Antetokounmpo	MIL	27528090
Steven Adams	NOP	27528090
Al Horford	OKC	27500000
Brandon Ingram	NOP	27285000
Rudy Gobert	UTA	26525281
Jrue Holiday	MIL	26131111
Nikola Vu_evi_	CHI	26000000
Buddy Hield	SAC	24431818
Jaylen Brown	BOS	22991071
Draymond Green	GSW	22246956
Harrison Barnes	SAC	22215909
Fred VanVleet	TOR	21250000
Victor Oladipo	MIA	21000000
Malcolm Brogdon	IND	20700000
Danilo Gallinari	ATL	19500000
Zach LaVine	CHI	19500000
Gary Harris	ORL	19160714
Jerami Grant	DET	19047619
Tim Hardaway Jr.	DAL	18975000
Terry Rozier	CHO	18900000
Julius Randle	NYK	18900000
LaMarcus Aldridge	SAS	19078340
Aaron Gordon	DEN	18136364
Myles Turner	IND	18000000
Bogdan Bogdanovi_	ATL	18000000
Goran Dragi_	MIA	18000000
Bojan Bogdanovi_	UTA	17850000
Domantas Sabonis	IND	17187500
Ricky Rubio	MIN	17000000
Evan Fournier	BOS	17000000
Eric Bledsoe	NOP	16875000
Eric Gordon	HOU	16869276
Gorgui Dieng	MEM	17587688
Caris LeVert	IND	16203704
Joe Harris	BRK	16071429
James Johnson	NOP	16047100
Clint Capela	ATL	16000000
Dennis Schröder	LAL	15500000
Cody Zeller	CHO	15415730
Danny Green	PHI	15365854
D_vis Bert_ns	WAS	15000000
Jonas Valan_i_nas	MEM	15000000
