date	playerName	description
12/30/99	Willie Cauley-Stein	illness (DTD)
8/5/47	Jack Underman	fractured legs (in auto accident) (out indefinitely) (date approximate)
11/12/49	Fred Scolari	fractured right cheekbone (out indefinitely)
12/23/49	Vince Boryla	mumps (out ~2 weeks)
10/25/50	Goebel Ritter / Tex Ritter	bruised ligaments in left ankle (DTD)
11/25/50	Andy Phillip	lacerated foot (DTD)
12/5/50	Andy Duncan (a)	fractured kneecap (out indefinitely)
10/13/52	Fred Scolari	fractured nose (out indefinitely)
1/27/53	Max Zaslofsky	fractured hand (out indefinitely)
2/2/53	Fred Scolari	sprained ankle (out indefinitely)
9/29/54	Jack Nichols	fractured nose (DTD)
1/2/55	Paul Arizin	ankle injury (DTD)
4/6/18	Salah Mejri	rest / knee injury (out for season)
1/17/19	Tristan Thompson	sore left foot (DTD)
