PLAYER	TEAM	DATE	DESCRIPTION	STATUS	INJURY
John Collins	ATL	2021-04-01	The Hawks announced that Collins will miss at least one week.	Out	Ankle
Kris Dunn	ATL	2021-03-18	The Hawks announced that Dunn returned to practice yesterday and his status will be updated on the team's upcoming road trip.	Out	Ankle
De'Andre Hunter	ATL	2021-03-31	Hunter is listed as QUESTIONABLE for Thursday's (Apr. 1) game.	Day To Day	Knee
Cam Reddish	ATL	2021-03-15	Reddish will miss at least 4-6 more weeks, according to Shams Charania of The Athletic.	Out	Achilles
Romeo Langford	BOS	2021-04-01	Langford did not play in Wednesday's (Mar. 31) game against Dallas.	Day To Day	Health and Safety Protocols
Semi Ojeleye	BOS	2021-03-27	Celtics coach Brad Stevens said Ojeleye will miss at least 10 days.	Out	Side
Tristan Thompson	BOS	2021-04-01	Thompson did not play in Wednesday's (Mar. 31) game.	Day To Day	Health and Safety Protocols
Robert Williams	BOS	2021-04-01	Williams did not play in Wednesday's (Mar. 31) game.	Day To Day	Illness
Spencer Dinwiddie	BRK	2021-01-19	Dinwiddie had a ACL reconstruction of his right knee, according to Brian Lewis of the New York Post. He will miss the rest of the season.	Out For Season	ACL
Kevin Durant	BRK	2021-03-28	Nets coach Steve Nash said he doesn't expect Durant to play this week.	Out	Hamstring
Blake Griffin	BRK	2021-04-01	Griffin is out for Thursday's (Apr. 1) game against Charlotte.	Out	Rest
James Harden	BRK	2021-04-01	Harden is out for Thursday's (Apr. 1) game against Charlotte.	Out	Hamstring
LaMelo Ball	CHO	2021-03-24	Ball had surgery on his fractured wrist and will be re-evaluated in four weeks, according to Shams Charania of The Athletic.	Out	Wrist
Malik Monk	CHO	2021-03-31	Monk is probable for Thursday's (Apr. 1) game against Brooklyn.	Day To Day	Foot
Zach LaVine	CHI	2021-04-01	LaVine did not play in Wednesday's (Mar. 31) game.	Day To Day	Ankle
Garrett Temple	CHI	2021-04-01	Temple did not play in Wednesday's (Mar. 31) game.	Day To Day	Hamstring
Coby White	CHI	2021-04-01	White did not play in Wednesday's (Mar. 31) game.	Day To Day	Neck
Jarrett Allen	CLE	2021-03-31	Allen is listed as OUT for Thursday's (Apr. 1) game.	Out	Concussion
Matthew Dellavedova	CLE	2021-03-31	Dellavedova is listed as QUESTIONABLE for Thursday's (Apr. 1) game.	Day To Day	Abdominal/Appendicitis
Larry Nance	CLE	2021-03-31	Nance is listed as OUT for Thursday's (Apr. 1) game.	Out	Illness
Dylan Windler	CLE	2021-03-31	Windler is listed as DOUBTFUL for Thursday's (Apr. 1) game.	Day To Day	Knee
Willie Cauley-Stein	DAL	2021-04-01	Cauley-Stein did not play in Wednesday's game (Mar. 31) against the Celtics.	Day To Day	Health and Safety Protocols
J.J. Redick	DAL	2021-03-11	Redick underwent a non-surgical procedure and will be re-examined in about a week.	Out	Heel
Tyrell Terry	DAL	2021-04-01	Terry did not play in Wednesday's game (Mar. 31) against the Celtics.	Day To Day	Personal
Monte Morris	DEN	2021-03-31	Morris is listed as OUT for Thursday's (Apr. 1) game.	Out	Quad
Hamidou Diallo	DET	2021-04-01	Diallo is out for Thursday's (Apr. 1) game against Washington.	Out	Rest
Sekou Doumbouya	DET	2021-04-01	Doumbouya is probable for Thursday's (Apr. 1) game against Washington.	Day To Day	Migraine
Wayne Ellington	DET	2021-04-01	Ellington is questionable for Thursday's (Apr. 1) game against Washington.	Day To Day	Calf
Killian Hayes	DET	2021-03-16	The Pistons announced that Hayes has been cleared for on-court basketball activities and will gradually return to full-contact practice. He will be re-evaluated in three weeks.	Out	Hip
Rodney McGruder	DET	2021-04-01	McGruder is out for Thursday's (Apr. 1) game against Washington.	Out	Elbow
Jahlil Okafor	DET	2021-03-21	Detroit coach Dwane Casey said there's no timetable for Okafor's return.	Out	Knee
Dennis Smith	DET	2021-04-01	Smith Jr. is questionable for Thursday's (Apr. 1) game against Washington.	Day To Day	Spine
Eric Paschall	GSW	2021-03-31	Paschall is out for Thursday's (Apr. 1) game against Miami.	Out	Wrist
Klay Thompson	GSW	2021-02-26	Thompson's recovery from a torn right Achilles tendon is right on schedule, according to Connor Letourneau of the San Francisco Chronicle. He's out of a walking boot and starting mobility exercises.	Out For Season	Right Achilles
Dante Exum	HOU	2021-03-05	Exum is still in a walking boot and no timetable has been announced for when he might return, according to Ben DuBose of USA Today.	Out	Calf
Eric Gordon	HOU	2021-03-12	Gordon is dealing with a moderate groin strain and is expected to miss 4-6 weeks, according to Adrian Wojnarowski of ESPN.	Out	Groin
David Nwaba	HOU	2021-04-01	Nwaba did not play in Wednesday's (Mar. 31) game against Brooklyn.	Day To Day	Wrist
John Wall	HOU	2021-04-01	Wall did not play in Wednesday's (Mar. 31) game.	Day To Day	Knee
Jeremy Lamb	IND	2021-04-01	Lamb did not play in Wednesday's (Mar. 31) game.	Day To Day	Toe
T.J. Warren	IND	2021-03-25	Warren underwent foot surgery and will miss the rest of the season, according to Scott Agness of the Fieldhouse Files.	Out For Season	Foot
Patrick Beverley	LAC	2021-03-31	Beverley is listed as OUT for Thursday's (Apr. 1) game.	Out	Knee
Paul George	LAC	2021-03-31	George is listed as OUT for Thursday's (Apr. 1) game.	Out	Foot
Serge Ibaka	LAC	2021-03-31	Ibaka is listed as OUT for Thursday's (Apr. 1) game.	Out	Back
